Time       moves_acc moves_gen     F(Q)_1     Bragg   X_ray_(R)1
h/m/s/.th    WEIGHT PARAMETERS   0.100E+01  0.100E+01  0.100E+01
223211.993      214612      549445  0.858E-02  0.316E-02  0.579E-02
224211.843      215185      551009  0.858E-02  0.316E-02  0.579E-02
225211.645      215772      552569  0.858E-02  0.315E-02  0.578E-02
230211.915      216367      554100  0.858E-02  0.315E-02  0.578E-02
231211.640      216939      555637  0.858E-02  0.314E-02  0.577E-02
232211.649      217515      557178  0.858E-02  0.314E-02  0.577E-02
233211.641      218047      558670  0.858E-02  0.313E-02  0.576E-02
234212.013      218575      560182  0.858E-02  0.313E-02  0.575E-02
235211.839      219080      561647  0.858E-02  0.313E-02  0.574E-02
000211.590      219618      563181  0.858E-02  0.312E-02  0.574E-02
001211.994      220183      564661  0.858E-02  0.312E-02  0.574E-02
002211.680      220737      566210  0.858E-02  0.311E-02  0.574E-02
003211.801      221300      567749  0.858E-02  0.311E-02  0.573E-02
004211.775      221854      569298  0.857E-02  0.310E-02  0.572E-02
005211.564      222426      570835  0.857E-02  0.310E-02  0.571E-02
010211.727      223029      572383  0.856E-02  0.311E-02  0.568E-02
011211.830      223612      573870  0.855E-02  0.312E-02  0.565E-02
012211.741      224184      575391  0.854E-02  0.313E-02  0.563E-02
013211.758      224795      576949  0.854E-02  0.312E-02  0.563E-02
014211.715      225384      578515  0.854E-02  0.312E-02  0.562E-02
015211.849      225960      580067  0.854E-02  0.311E-02  0.562E-02
020211.690      226498      581600  0.854E-02  0.311E-02  0.561E-02
021211.873      227063      583158  0.854E-02  0.311E-02  0.561E-02
022211.742      227583      584712  0.854E-02  0.310E-02  0.560E-02
023211.927      228115      586272  0.854E-02  0.310E-02  0.560E-02
024211.854      228734      587862  0.854E-02  0.309E-02  0.559E-02
025211.867      229285      589417  0.853E-02  0.309E-02  0.558E-02
030211.806      229833      590965  0.853E-02  0.308E-02  0.558E-02
031211.919      230387      592512  0.853E-02  0.308E-02  0.557E-02
032211.763      230963      594050  0.853E-02  0.308E-02  0.557E-02
033211.579      231513      595579  0.853E-02  0.307E-02  0.556E-02
034211.900      232076      597140  0.853E-02  0.307E-02  0.556E-02
035211.631      232627      598625  0.852E-02  0.307E-02  0.554E-02
040211.829      233179      600168  0.851E-02  0.308E-02  0.552E-02
041211.789      233743      601662  0.851E-02  0.307E-02  0.551E-02
042211.547      234292      603190  0.851E-02  0.307E-02  0.551E-02
043212.026      234847      604675  0.851E-02  0.306E-02  0.551E-02
044211.901      235398      606212  0.851E-02  0.306E-02  0.550E-02
045211.919      235991      607775  0.851E-02  0.305E-02  0.550E-02
050211.584      236532      609300  0.851E-02  0.305E-02  0.549E-02
051211.609      237126      610875  0.851E-02  0.305E-02  0.549E-02
